Text_name,file_name,text_type,grade_level,standards,total_words,UWD,UWD_div_total,number_sentences,avg_SL,DESC_div_total,SCONJ_div_total,ADP_div_total,max_arrow_length,avg_arrow_length
"“On the Sidewalk Bleeding,” by Evan Hunter",On_sidewalk.txt,prose,10,ALB,2022,540,0.2671,287,7.0452,0.1078140455,0.01681503462,0.08160237389,18,2.1422
"“God Mode,” by Daniel H. Wilson",God_mode.txt,prose,9,ALB,3095,994,0.3211,380,8.1447,0.1282714055,0.01873990307,0.1066235864,36,2.1879
“Grass” by Carl Sandburg,Grass.txt,poetry,11,CCS,67,39,0.5821,8,8.375,0.05970149254,0.01492537313,0.07462686567,14,2.1888
"“Charles,” by Shirley Jackson",Charles.txt,prose,9,ALB,957,333,0.3479,140,6.8357,0.08986415883,0.01044932079,0.08881922675,16,2.1899
“So What Are You Anyway?” by Lawrence Hill,So_what.txt,prose,9,ALB,1403,492,0.3506,197,7.1218,0.08339272986,0.02066999287,0.06842480399,26,2.3342
"“Civilization,” by Vylar Kaftan",Civilization.txt,prose,11,ALB,2632,904,0.3434,300,8.7733,0.1212006079,0.02621580547,0.09080547112,34,2.3966
"“On the Bridge,” by Todd Strasser",On_bridge.txt,prose,11,ALB,2383,712,0.2987,239,9.9707,0.1099454469,0.02098195552,0.1112043642,31,2.4139
"“Long Walk to Forever,” by Kurt Vonnegut",Long_walk.txt,prose,9,ALB,1834,542,0.2955,242,7.5785,0.1194111232,0.01962922574,0.07797164667,37,2.4148
“Conversation with a Stone” by Wisława Szymborska,Convo_stone.txt,poetry,12,CCS,446,189,0.4237,47,9.4893,0.134529148,0.008968609865,0.08744394619,25,2.4279
"“A Clean, Well-Lighted Place” by Ernest Hemingway",Clean_place.txt,prose,11,CCS,1431,432,0.3018,153,9.3529,0.1167016073,0.01956673655,0.1027253669,49,2.4529
"“My Papa’s Waltz,” by Theodore Roethke",Papas_waltz.txt,poetry,11,ALB,85,72,0.8471,5,17,0.08235294118,0.01176470588,0.1411764706,19,2.4545
“Dream Variations” by Langston Hughes,Dream_vari.txt,poetry,9,CCS,77,51,0.6623,10,7.7,0.1688311688,0.03896103896,0.1168831169,24,2.4864
“The Gift of the Magi” by O. Henry,Gift_magi.txt,prose,9,CCS,1860,575,0.3091,180,10.3333,0.1322580645,0.02043010753,0.09462365591,28,2.4886
“Hills Like White Elephants” by Ernest Hemingway,Hills_like.txt,prose,11,CCS,1474,366,0.2483,178,8.2808,0.09837177748,0.01628222524,0.09769335142,31,2.4965
“Love III” by George Herbert,Love_3.txt,poetry,12,CCS,126,93,0.7381,11,11.4545,0.09523809524,0.01587301587,0.04761904762,24,2.5085
“The Cask of Amontillado” by Edgar Allan Poe,Cask_amon.txt,prose,9,CCS,1461,486,0.3326,152,9.6118,0.1307323751,0.02806297057,0.09924709103,33,2.5089
"“The Cask of Amontillado,” by Edgar Allan Poe",Cask_amon.txt,prose,11,ALB,1461,486,0.3326,152,9.6118,0.1307323751,0.02806297057,0.09924709103,33,2.5089
“The House on the Hill” by E.A. Robinson,House_hill.txt,poetry,11,CCS,104,56,0.5384,7,14.8571,0.2019230769,0.009615384615,0.05769230769,19,2.5217
"“Pact,” by Mark Oshiro",Pact.txt,prose,11,ALB,3637,978,0.2689,394,9.2309,0.1171295023,0.02254605444,0.110805609,40,2.5362
“The Scarlet Ibis” by James Hurst,Scarlet_ibis.txt,prose,9,CCS,1404,507,0.3611,123,11.4146,0.103988604,0.02564102564,0.1075498575,28,2.5546
"“The Scarlet Ibis,” by James Hurst",Scarlet_ibis.txt,prose,12,ALB,1404,507,0.3611,123,11.4146,0.103988604,0.02564102564,0.1075498575,28,2.5546
